Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
Dormitory rooms have personal lockers and a shared bathroom.	В общих номерах в распоряжении гостей персональные запирающиеся шкафчики и общая ванная комната.
Many units also have a balcony, and a breakfast buffet is on offer each morning.	Во многих номерах есть балкон, каждое утро для гостей накрывают завтрак «шведский стол».
The popular Kurfürstendamm shopping street and Berlin Zoo are within a 15-minute walk of STARS. Potsdamer Platz Square and the Brandenburg Gate are 10 minutes away by underground train.	Популярная торговая улица Курфюрстендам и Берлинский зоопарк находятся в 15 минутах ходьбы от гостевого дома STARS, а до Потсдамской площади и Бранденбургских ворот можно доехать за 10 минут на метро.
There is free shuttle service and gift shop at the property.	Также в распоряжении гостей сувенирный магазин. Для гостей организуют бесплатный трансфер.
The property is located 200 m from the water and you can enjoy a view of the sea from this home.	До моря от дома всего 200 метров. Гости могут любоваться видом на море из окон.
It offers air-conditioned rooms and a free Wi-Fi zone, 10 minutes’ walk from Granada Cathedral.	К услугам гостей номера с кондиционером и зона бесплатного Wi-Fi. От гостевого дома до Кафедрального собора Гранады можно дойти за 10 минут.
The nearest airport is Delhi International Airport, 19 km from Meditation Palace.	До международного аэропорта Дели от гостевого дома Meditation Palace нужно проехать 19 км.
Set in Santa Maria La Palma and 10 km from the Conte Harbour, Serraona offers a garden and self-catering accommodation with air conditioning.	Апартаменты Serraona с кухней, кондиционером и садом расположены в Санта-Мария-ла-Пальме, в 10 км от гавани Конте.
Most rooms feature furniture from the interwar period.	Большинство номеров обставлены мебелью межвоенного периода.
Free WiFi access and private parking are available.	Гостям предоставляется частная парковка и бесплатный WiFi.
You can explore Aiako-Harria Nature Reserve, which is 5 km from the house.	Заповедник Айако-Харрия находится в 5 км.
The property offers free parking.	Для гостей обустроена бесплатная парковка.
Convent of San Marco is 5 km from Quattro Ville, while Santa Maria Novella is 5 km from the property.	Апартаменты Quattro Ville находятся в 5 км от Музея Сан-Марко и Базилики Санта-Мария-Новелла.
The Holiday home Fjand Strand Ulfborg IX is located in Thorsminde, at 89 km from the Billund Airport.	Дом для отпуска Fjand Strand Ulfborg IX находится в Торсминде, в 89 км от аэропорта Биллунна.
The nearest bus station is a 3-minute walk from the property.	Ближайшая автобусная остановка расположена в 3 минутах ходьбы.
Each room has cable TV, a small seating area, and a safety deposit box.	В каждом номере есть кабельное телевидение, небольшой гостиный уголок, а также сейф.
There is also an expansive outdoor pool area, and a 13th-century chapel.	Гости могут посетить большой открытый бассейн и часовню XIII века.
Each also includes a terrace with garden furniture.	Также в вашем распоряжении терраса с садовой мебелью.
Some rooms also include a balcony overlooking the street.	Некоторые номера располагают балконом с видом на улицу.
Free parking is avilable on site.	Свой автомобиль гости могут оставить на бесплатной парковке у комплекса.
Services like laundry and dry cleaning are provided.	Кроме того, предоставляются услуги прачечной и химчистки.
A continental breakfast is provided in the dining room with a fireplace or the roof terrace.	В обеденном зале с камином или на крышной террасе сервируется континентальный завтрак.
The room comes with a flat-screen TV.	К услугам гостей телевизор с плоским экраном.
A farmhouse inn is located just in front of the property and is open in July and August.	Напротив гостевого дома расположена фермерская мини-гостиница, которая работает в июле и августе.
Each air-conditioned room is equipped with a cable TV, personal safe and coffee/tea maker.	Во всех номерах есть кондиционер, телевизор с кабельными каналами, персональный сейф и чайник/кофеварка.
The kitchenette includes a microwave, a fridge and a toaster.	Мини-кухня оснащена микроволновой печью, холодильником и тостером.
Champs Elysées Arc de Triomphe is a self-catering apartment located in Paris’ 17th district, just 550 metres form the Arc de Triomphe and 800 metres from Champs-Elysées.	Апартаменты Champs Elysées Arc de Triomphe с собственной кухней расположены в 17 районе Парижа, всего в 550 метрах от Триумфальной арки и в 800 метрах от Елисейских полей.
It takes 20 minutes by car to Tan San Nhat International Airport.	Поездка на машине до Международного аэропорта Тан Сан Нхат занимает 20 минут.
Surrounded by pine trees, Mare e Festa is located in Solenzara and a 3-minute walk from the beach.	Комплекс бунгало Mare E Festa располагается в Солензаре, в окружении сосен и в 3 минутах ходьбы от пляжа.
An indoor swimming pool and a sauna complex are also featured at Lime Hotel.	Также в отеле «Лайм» есть комплекс с крытым бассейном и сауной.
Free buses for ski lifts to the Adamello Ski area stop right in front of the hotel.	Прямо перед отелем находится остановка, откуда бесплатные автобусы доставят вас до горнолыжных подъемников курорта Адамелло.
You will find a kettle in the room.	В числе прочих удобств — чайник.
Pensiunea Denisa features free WiFi throughout the property.	На всей территории гостевого дома Denisa действует бесплатный Wi-Fi.
An oven and a microwave can be found in the kitchen.	В числе удобств кухня с духовкой и микроволновой печью.
Mt. Fernie Provincial Park is 5 km away.	До парка провинции Маунт-Ферни - 5 км.
A buffet breakfast, including traditional bread and pastries, is prepared every morning at the guest house.	Кроме того, каждое утро сервируется завтрак, в том числе традиционный хлеб и выпечка.
The hotel has a year-round outdoor pool and views of the garden, and guests can enjoy a meal at the restaurant or a drink at the bar.	К услугам гостей открытый бассейн, работающий круглый год, ресторан и бар. Из окон открывается вид на сад.
Guests can go skiing or snowboarding at the indoor ski slopes of SnowWorld Landgraaf (11 km).	Кроме того, гости могут заняться лыжным спортом и сноубордингом на крытом горнолыжном склоне «Снежный мир» в городе Ландграф (в 11 км).
Room service is also available.	Производится обслуживание номеров.
Set within a traditional Andalusian style farmhouse, the hotel is situated in a privileged area, in the fertile plains of the Granada Province, offering the a beautiful rural setting.	Отель размещается в традиционном андалузском фермерском доме в привилегированном районе, на плодородных равнинах провинции Гранада, в окружении красивой загородной местности.
Free Wifi is available in hotel rooms.	Во всех номерах работает бесплатный WiFi.
The resort has meeting facilities and BBQ facilities.	На территории курорта имеются помещения для проведения конференций и площадка для барбекю.
Elgin Cathedral historic ruins are a 15-minute walk away and Elgin Golf Club is a 6-minute journey in the car.	Прогулка до исторических руин собора Элгина займет 15 минут, а за 6 минут можно доехать на автомобиле до гольф-клуба Elgin.
Ferienwohnung Domus Vini offers free WiFi and a fully equipped kitchen.	К услугам гостей полностью оборудованная кухня. Подключен бесплатный Wi-Fi.
The air-conditioned accommodation at Kalamonas consists of 2 or 3 bedrooms, a living room and a dining area.	Апартаменты и виллы отеля Kalamonas оснащены кондиционерами и состоят из 2 или 3 спален, гостиной и обеденной зоны.
Other amenities include a washing machine and a tumble dryer.	Среди прочих удобств — стиральная и сушильная машины.
The nearest airport is Suvarnabhumi Airport, 13 km from the property.	Также в 13 км расположен аэропорт Суварнабхуми.
Centrally located, High Street Homes are within 5 minutes' walk of cafes, boutiques and restaurants.	Комплекс High Street Homes расположен в центре города, в 5 минутах ходьбы от кафе, бутиков и ресторанов.
Free private parking is provided on site.	Гостям, путешествующим на автомобиле, предоставляются места на бесплатной частной парковке на территории отеля.
The Offa's Dyke Path is about 800 metres away and there are many walking paths in the local area.	Пешеходный маршрут Offa's Dyke Path расположен примерно в 800 метрах от отеля. Рядом также есть много прогулочных троп.
Located in the heart of the Milwaukee city centre, this hotel offers spacious rooms with free Wi-Fi and large flat-screen TVs.	Этот отель размещен в самом центре города Милуоки. Гости могут остановиться в просторных номерах с телевизором с широким плоским экраном и воспользоваться бесплатным WiFi.
The air conditioned rooms are also provided with a flat-screen TV, a desk and a fridge.	Кроме того, номера оборудованы кондиционером, телевизором с плоским экраном, письменным столом и холодильником.
Coral Bay is 11 km from Villa Amaracos, while Kakopetria is 44 km away.	Коралловый залив находится в 11 км от дома для отпуска Villa Amaracos, а деревня Какопетрия — в 44 км.
Select suites at this West Florida Lido Islander Inn and Suites include a seating area with a sofa bed.	В некоторых люксах отеля Lido Islander Inn and Suites, расположенного в западной части штата Флорида, обустроена гостиная зона с диваном-кроватью.
Residence Mirtillo Rosso offers fully equipped apartments with a balcony and mountain views, in a quiet area 1300 metres above sea level. It is just next to a forest and 50 metres from the Folgarida ski slopes.	Комплекс апартаментов Mirtillo Rosso разместился в тихой местности, на высоте 1300 метров над уровнем моря и всего в 50 метрах от леса и лыжных склонов Фольгариды. К услугам гостей апартаменты с балконом и видом на горы.
Peace Family is 300 metres from Yangshuo Bus Terminal and Yangshuo Park.	Отель Peace Family расположен в 300 метрах от автобусного вокзала Яншо и городского парка.
At Résidence La Source you will find a garden and barbecue facilities.	Помимо прочего, в распоряжении гостей апартаментов Résidence La Source сад с принадлежностями для барбекю.
A full English breakfast is served each morning and features Yorkshire cured bacon, award-winning sausages and black pudding all cooked on a traditional Aga stove.	Каждое утро гостям подается полный английский завтрак, приготовленный в традиционной печи марки Aga. Он включает йоркширский соленый бекон, превосходные сосиски и кровяную колбасу.
Rooms are also equipped with a private bathroom with a shower.	В собственной ванной комнате установлен душ.
Vorokhta is 20 km from Goryanka, while Verkhovyna is 39 km from the property.	Поселок Ворохта находится в 20 км от комплекса «Горянка», а поселок Верховина — в 39 км.
Free on-site parking is available.	На территории отеля обустроена бесплатная парковка.
Other facilities offered at the property include meeting facilities and an ironing service. The property offers free parking.	В распоряжении гостей терраса, помещения для проведения конференций и бесплатная парковка. Гости могут воспользоваться гладильными услугами.
Situated 1.4 km from Parc des Princes in Paris, this apartment features free WiFi. Guests benefit from patio.	Эти апартаменты расположены в Париже, в 1,4 км от стадиона «Парк де Пренс». К услугам гостей бесплатный Wi-Fi и патио.
A 25-minute drive from Nadi Airport, it offers a pool and free parking.	Отель находится в 25 минутах езды от аэропорта Нади. В нем есть бассейн и бесплатная парковка.
Each includes a private bathroom, safe and minibar.	В вашем распоряжении мини-бар, сейф и собственная ванная комната.
1 house features 1 bedroom and the other one, 2 bedrooms.	Один из них располагает 1 спальней, в другом - 2 спальни.
Sitting on a cliff overlooking the South China Sea, it also provides free Wi-Fi and free parking.	Отель стоит на скале, откуда открывается вид на Южно-Китайское море. К услугам гостей бесплатный Wi-Fi и бесплатная парковка.
Every room has an en suite bathroom as well, with toiletries and a hairdryer.	В каждом номере есть ванная комната с туалетными принадлежностями и феном.
Bari International Airport is a 40-minute drive away.	Поездка на машине до международного аэропорта Бари занимает 40 минут.
It offers air-conditioned accommodation.	К услугам гостей номера с кондиционером.
The hotel has an outdoor pool, and a terrace with extensive sea views. All rooms have air conditioning and free Wi-Fi.	К услугам гостей открытый бассейн, терраса с панорамным видом на море и номера с кондиционером и бесплатным WiFi.
Nice Côte d’Azur Airport is 4 km away and the property offers free parking on site.	Расстояние до аэропорта Ницца Лазурный Берег составляет 4 км. Гостям предоставляется бесплатная парковка на территории апартаментов.
The property features a garden, a sauna, barbecue facilities, a children's playground and a terrace.	Среди прочих удобств гостевого дома сад, сауна, принадлежности для барбекю, детская игровая площадка и терраса.
Located in the historical centre of Mardin, the Erdoba Evleri Osmanli Konagi is a getaway to explore Cumhuriyet Bazaar, Melikşah Grand Mosque and the Ulucami Neighborhood.	Отель Erdoba Evleri Osmanli Konagi находится в историческом центре Мардина, откуда вы без труда доберетесь до рынка Джумхуриет, Большой мечети Мелик-шах и района Улуджами.
Some apartments have a private terrace or balcony.	Некоторые апартаменты располагают собственной террасой или балконом.
Capri Bus Station is 50 metres from the property.	Автобусный вокзал Капри находится в 50 метрах от отеля.
Kerry Blu B&B is also surrounded by a variety of restaurants and car parks.	Отель типа "постель и завтрак" Kerry Blu также окружен множеством ресторанов и автомобильных стоянок.
Historic Biltmore Estate and Winery is 23 miles away.	Историческое поместье и винодельня Билтмор находится в 36,8 км.
The apartment is uniquely decorated with blue and purple, with white furniture.	Апартаменты оформлены в индивидуальном стиле в синих и фиолетовых тонах и обставлены белой мебелью.
Rooms have a flat-screen TV with cable channels.	Гостям предлагаются номера с телевизором с плоским экраном, транслирующим кабельные каналы.
With classic decor, the studio comes with a TV and a kitchenette with a dining area.	Апартаменты открытой планировки отличает классический дизайн. В числе их удобств телевизор и мини-кухня с обеденной зоной.
Each room has a flat-screen TV and an en suite bathroom.	В числе удобств номеров телевизор с плоским экраном и собственная ванная комната.
It features an outdoor swimming pool with a sun terrace, set within gardens.	К услугам гостей открытый бассейн с солнечной террасой в окружении красивых садов.
Located only a 10-minute walk from the seafront, Villa Vanilla offers luxury accommodation with free Wi-Fi and parking.	Вилла Vanilla находится всего в 10 минутах ходьбы от береговой линии. К услугам гостей парковка, а также роскошные номера и апартаменты с бесплатным Wi-Fi.
This holiday home can accommodate four guests.	Вместимость дома для отпуска — 4 человека.
A sweet breakfast featuring coffee, tea, croissants and juices is offered daily.	Для гостей сервируется ежедневный сладкий завтрак с кофе, чаем, круассанами и соками.
Shuttle services can be arranged for an extra fee.	За дополнительную плату предоставляются услуги трансфера.
A seaside walking path and tropical landscaped gardens are provided at the eco-friendly Outrigger Napili Shores.	Рядом с эко-отелем Outrigger Napili Shores расположена приморская пешеходная дорожка и тропические сады.
The property offers free parking.	В вашем распоряжении бесплатная парковка.
Double Rooms are equipped with a fan and a balcony.	В двухместных номерах с 1 кроватью имеются вентилятор и балкон.
The private bathroom comes with a shower.	В распоряжении гостей собственная ванная комната с душем.
Each guest room at the Barreme has a modern decoration and is air conditioned.	Все номера с современным декором в Barreme располагают кондиционерами.
You will find a 24-hour front desk at the property.	Стойка регистрации работает круглосуточно.
Lunch and dinner are served at the bright restaurant.	В светлом ресторане подают обед и ужин.
It offers free parking and free Wi-Fi internet access.	К услугам гостей бесплатная парковка и Wi-Fi.
Free WiFi access is available.	К услугам гостей бесплатный Wi-Fi.
Located on the shores of Santa Rosa river, Jazmines del Rio offers self-catering accommodation in Santa Rosa de Calamuchita.	Комплекс Jazmines del Rio находится на берегу реки Санта-Роса в городе Санта-Роса-де-Каламучита. К услугам гостей апартаменты с собственной кухней.
Haus Lederstube offers rustic apartment with cable TV, just a 3-minute walk from the Aberg Cable Car and 2 km from Maria Alm.	Комплекс Haus Lederstube находится всего в 3 минутах ходьбы от канатной дороги Аберг и в 2 км от Мариа-Альм. В распоряжении гостей апартаменты в загородном стиле, оснащенные кабельным телевидением.
DJs perform at the envy Bar Thursday through Saturday, while guests can also enjoy a wide range of events on-site.	С четверга по субботу в баре envy работают ди-джеи. Также на территории гости могут посетить множество различных мероприятий.
The kitchenette is equipped with an oven and a fridge.	Мини-кухня оборудована духовкой и холодильником.
The nearest airport is Diego Aracena International Airport, 35 km from Departamento Arturo Fernandez.	Расстояние до ближайшего международного аэропорта имени Диего Арасена составляет 35 км.
Restaurants, bars and grocers can be reached within a walking distance.	Прогулка до ресторанов, баров и продуктовых магазинов занимает несколько минут.
Some studios and apartments feature a sea-view terrace.	В некоторых из них есть терраса с видом на море.
Specialising in Mediterranean cuisine, the Doney Restaurant provides a chic indoor setting along Via Veneto.	В элегантном ресторане Doney с видом на улицу Виа-Венето подаются блюда средиземноморской кухни.
Each apartment is air-conditioned and features full kitchen facilities, a living room and a flat-screen TV.	В каждых апартаментах имеется кондиционер, полностью оборудованная кухня, гостиная и телевизор с плоским экраном.
Barbecue facilities are on-site and a private entrance is available for guest convenience.	В распоряжении гостей также отдельный вход и принадлежности для барбекю на территории.
Free WiFi access is available.	Предоставляется бесплатный Wi-Fi.
The apartment is fitted with a kitchenette	В апартаментах имеется мини-кухня.
Situated close to the sea coast in the beautiful green surroundings, Kassari Puhkekeskus offers accommodation with a large sauna and private terraces.	Комплекс Kassari Puhkekeskus расположен недалеко от берега моря, в окружении живописной зеленой растительности. К услугам гостей большая сауна и собственные террасы.
The kitchen is equipped with an oven, a microwave and a fridge, as well as a kettle.	В числе удобств кухня с духовкой, микроволновой печью, холодильником и чайником.
At Guest House Mila, guests can also enjoy a garden and a terrace.	Среди прочих удобств гостевого дома Mila — сад и терраса.
Shops and restaurants are available within 700 m distance.	Магазины и рестораны расположены на расстоянии 700 метров.
The New Delhi Railway Station is 3 km.	Расстояние до железнодорожного вокзала Нью-Дели составляет 3 км.
The equipped kitchens are fitted with a stove, oven and refrigerator.	Кроме того, в распоряжении гостей оборудованная кухня с плитой, духовым шкафом и холодильником.
Alternatively, plenty of dining options are available within walking distance from Apartment International Yuan Jia. They include Cantonese fine dining, Sichuan food and local street delights.	Помимо этого, в нескольких минутах ходьбы от апартаментов International Yuan Jia работают многочисленные кафе и рестораны. Гости смогут попробовать блюда изысканной кантонской и сычуаньской кухни, а также местные деликатесы в уличных кафе.
The property is situated 200 metres from the fast-paced night life of Nevizade Street and Asmalimescit offering various dining options.	Комплекс находится в 200 метрах от оживленных ночных клубов на улице Невизаде и района Асмалимесджит с различными кафе, барами и ресторанами.
Izhevsk Airport is 11 km away.	Расстояние до аэропорта Ижевска составляет 11 км.
Restaurants, bars and shops can be found a 15-minute drive away.	Рестораны, бары и магазины можно найти в 15 минутах езды от гостевого дома.
Many overlook the town of Limone Sul Garda, just a few steps away.	Окна многих номеров выходят на город Лимоне-суль-Гарда, который находится всего в нескольких шагах от отеля.
It offers Japanese/Western breakfast sets, massages and modern rooms with free wired internet and a 40-inch LCD TV.	К услугам гостей японский или западный комплексный завтрак, массажный кабинет, а также современные номера с бесплатным проводным доступом в интернет и 40-дюймовым ЖК-телевизором.
A cable TV and a seating area are provided in each guest room at Siesta Inn. A coffee maker is also included. Select units offer full kitchen facilities and a dining area.	Во всех номерах мотеля Siesta Inn имеется кофеварка, кабельное телевидение и гостиный уголок, а в некоторых - кухня и обеденная зона.
They include a seating area and a private bathroom with Italian shower, free toiletries and a hairdryer.	В них имеется гостиная зона и собственная ванная комната с итальянским душем, бесплатными туалетно-косметическими принадлежностями и феном.
The comfortably furnished accommodation includes a bedroom, a living area as well as a fully equipped kitchen.	В этих удобных апартаментах в распоряжении гостей спальня, гостиная, а также полностью оборудованная кухня.
A bus with links to Tiburtina Train Station and Metro stops 50 metres away.	В 50 метрах останавливается автобус, на котором можно доехать до железнодорожного вокзала Рома Тибуртина и метро.
Suites have a separate living room and bedroom and a flat-screen TV with satellite channels.	Люксы располагают отдельными гостиной и спальней, а также телевизором с плоским экраном и спутниковыми каналами.
A business centre, meeting and banquet facilities are available.	В распоряжении гостей бизнес-центр, помещения для совещаний и банкетные залы.
Tan Son Nhat International Airport is also 5 km away.	Расстояние до международного аэропорта Таншоннят составляет 5 км.
Trapani Harbour is 2.5 km from Casa Vacanze Primo Piano. The historic centre of Trapani is reachable in 5 minutes by car.	Гавань Трапани находится в 2,5 км, а исторический центр города Трапани - в 5 минутах езды от апартаментов Casa Vacanze Primo Piano.
The garden with palm trees includes a swimming pool.	В саду с пальмами расположен бассейн.
DJ Renoma Apartamenty Chmielna Park is a self-catering accommodation located on the Spichrzów Island in a historical part of Gdańsk. The property is 750 metres from the Green Gate and 850 metres from the Long Market.	Апартаменты DJ Renoma Chmielna Park расположены в исторической части Гданьска — на Острове складов, в 750 метрах от Зеленых ворот и в 850 метрах от Длинного рынка.
Imperiale Luxury Suites has air-conditioned apartments with elegant décor and satellite TV. They feature modern kitchen facilities with kitchen islands.	Апартаменты Suites Imperiale Luxury располагают элегантным декором, кондиционером, спутниковым телевидением, а также современной кухней с кухонным островом.
A flat-screen TV with satellite channels is featured.	В распоряжении гостей телевизор с плоским экраном и спутниковыми каналами.
The windows have mosquito nets and the bathroom is complete with hairdryer and free toiletries.	Окна защищены противомоскитными сетками, а в ванной комнате можно воспользоваться феном и бесплатными туалетно-косметическими принадлежностями.
The balcony offers pool views.	С балкона открывается вид на бассейн.
This stylish hotel in Eisenach offers free WiFi and panoramic views of the Wartburg castle and the Thuringian Forest.	Стильный отель pentahotel Eisenach находится в городе Айзенах. К услугам гостей бесплатный Wi-Fi. Из окон открывается панорамный вид на замок Вартбург и Тюрингенский Лес.
Modern décor and hardwood flooring feature throughout the guest rooms at Ibis Dongguan Dongcheng.	Номера отеля Ibis Dongguan Dongcheng оформлены в современном стиле, а пол в них сделан из дерева.
The bathroom comes with a shower and toilet.	Ванная комната оснащена душем и туалетом.
Free WiFi is provided throughout the property.	Во всех зонах работает бесплатный Wi-Fi.
Fenway Park is 9 miles away.	Расстояние до парка Фенуэй составляет 14,4 км.
The classically appointed rooms at Gospoda Młyńskie Koło are spacious and feature a private bathroom.	Просторные номера и апартаменты гостевого дома Gospoda Młyńskie Koło оформлены в классическом стиле. В каждом есть собственная ванная комната.
Batumi Train Station is 7 km from the property, while Batumi Airport is 9 km away.	Расстояние до железнодорожного вокзала Батуми составляет 7 км, а до аэропорта Батуми - 9 км.
Just 2.4 km from Portimão, it is 4.8 km from popular Rocha Beach.The Portimão Museum is 3.2km from the property, while the marina is within 4.8 km. Faro International Airport is located 66 km from the Casa Bela Vista.	Расстояние до города Портиман составляет всего 2,4 км, а до популярного пляжа Роша — 4,8 км. Музей Портимана расположен в 3,2 км, порт — в 4,8 км, а международный аэропорт Фару — в 66 км от виллы Casa Bela Vista.
Staff at the 24-hour reception can assist with luggage storage, car rental and laundry services.	На круглосуточной стойке регистрации предоставляется камера хранения багажа и услуги прачечной.
Located in Gumbet, Royal 28 Villa is just 350 metres from the beach.	Вилла Royal 28 расположена в Бодрум, всего в 350 метрах от пляжа.
Fitted with a terrace, rooms feature air conditioning and satellite TV. The private bathroom offers shower facilities.	Гостям предлагается проживание в номерах с террасой, кондиционером, спутниковым телевидением и собственной ванной комнатой с душем.
Hotel Don features free WiFi throughout the property.	На всей территории отеля «Дон» предоставляется бесплатный Wi-Fi.
Guests can enjoy traditional dishes at Golden Dragon Chinese Restaurant and Navratna Indian Restaurant.	В китайском ресторане Golden Dragon и индийском ресторане Navratna подают традиционные блюда.
The studio consists of a balcony with views of the mountains, a seating area with a TV and a sofa, a double bed and a bathroom with a shower. The kitchenette also provides a dining area.	В числе удобств апартаментов с открытой планировкой балкон с видом на горы, гостиный уголок с телевизором и диваном, двуспальная кровать, ванная комната с душем, а также мини-кухня с обеденной зоной.
Restaurants serving European and Asian cuisine are a 5-minute walk from Nomad Hostel.	В 5 минутах ходьбы от хостела Nomad работают рестораны, где предлагаются блюда европейской и азиатской кухни.
Casa per Ferie Parco degli Ulivi is located 800 metres from Monte Porzio Catone and just 1 km from the A1 motorway to Rome.	Отель Casa per Ferie Parco degli Ulivi находится в 800 метрах от городка Монте-Порцио-Катоне и всего в 1 км от автомагистрали А1, ведущей в Рим.
Hotel-Gasthof Sternen is a 5-minute drive from the centre of Winterlingen.	За 5 минут вы доедете от отеля Hotel-Gasthof Sternen до центра Винтерлингена.
Every type is fully equipped with a private bathroom and some have a separate kitchenette.	Во всех номерах есть собственная ванная комната, в некоторых номерах обустроена отдельная мини-кухня.
Prerow is 6 km from Ferienwohnung Zingst am Strand, while Wustrow is 21 km away. The nearest airport is Laage Airport, 64 km from Ferienwohnung Zingst am Strand.	Расстояние от апартаментов Ferienwohnung Zingst am Strand до города Преров составляет 6 км, до города Вустров — 21 км, а до аэропорта Лааге — 64 км.
General facilities at Getberget include a sauna, a barbeque area and bicycle rental.	Среди общих удобств - сауна, место для барбекю и прокат велосипедов.
Embarc - Blue Mountain offers accommodation in Blue Mountains.	Отель Embarc - Blue Mountain расположен на курорте Блу-Маунтинс.
Free WiFi access is available.	Гостям предоставляется бесплатный WiFi.
Dasoudi beach is 3.5 km away.	Расстояние до пляжа Дасуди составляет 3,5 км.
The nearest airport is Mykonos International Airport, 3 km from the property.	Расстояние до международного аэропорта Миконоса составляет 3 км.
It will take you 18 minutes to get to Molodezhnaya metro station by car.	Поездка на автомобиле до станции метро «Молодежная» занимает 18 минут.
Located in the countryside of the Haute-Marne region, this campsite offers wooden chalets with a private terrace.	К услугам гостей этого кемпинга, расположенного в загородной местности региона Верхняя Марна, деревянные шале с собственной террасой.
A flat-screen TV is available.	В числе удобств телевизор с плоским экраном.
The nearest airport is Genoa Cristoforo Colombo Airport, 22 km from the property.	В 22 км находится аэропорт Генуи имени Христофора Колумба.
If you feel like visiting the surroundings, check out the famous V&A Waterfront, which is located a 5-minute drive from the apartment.	В районе апартаментов расположены такие достопримечательности, как знаменитая Набережная Виктории и Альфреда, до которой можно доехать за 5 минут.
The house will provide you with a TV, a patio and a terrace.	В числе удобств телевизор, внутренний дворик и терраса.
The classic-style apartment has a TV and a terrace with outdoor furniture.	Апартаменты оформлены в классическом стиле, оснащены телевизором и располагают меблированной террасой.
A business center is on site.	Кроме того, в отеле есть бизнес-центр.
Just a 15-minute walk from Place de Bellecour, Appartements Hôtel de Ville - Lyon Cocoon features self-catering apartments, close to Place des Terreaux.	Комплекс апартаментов Hôtel de Ville - Lyon Cocoon находится всего в 15 минутах ходьбы от площади Белькур, недалеко от площади Терро. К услугам гостей апартаменты с собственной кухней.
Select rooms include a seating area where you can relax.	В некоторых номерах обустроена гостиная зона.
The hotel is 700 metres from the popular Park Street and 1.2 km from the large marble building of Victoria Memorial.	Отель расположен в 700 метрах от популярной улицы Парк-стрит и в 1,2 км от большого мраморного здания Виктория Мемориал.
It offers self-catering accommodations including a holiday home and an apartment facing the lake.	К услугам гостей дом для отпуска и апартаменты с кухней и видом на озеро.
Schlitterbahn Beach Waterpark is 3 miles away.	Расстояние до аквапарка Шлиттербан-Бич составляет 4,8 км.
Some rooms offer a spa bath.	В некоторых номерах дополнительно имеется гидромассажная ванна.
The property offers free parking.	Гости могут пользоваться бесплатной парковкой.
They all feature a fully-equipped kitchen, including a refrigerator, dishwasher and microwave.	В распоряжении гостей полностью оборудованная кухня с холодильником, посудомоечной машиной и микроволновой печью.
In-room facilities include a flat-screen TV and hairdryer.	В числе других удобств телевизор с плоским экраном и фен.
The nearest airport is Elefthérios Venizélos Airport, 18 km from Natasa's House By The Sea.	Ближайший аэропорт Элефтериос Венизелос расположен в 18 км от апартаментов Natasa's House By The Sea.
Simple Indonesian breakfast will be served in the room.	Простой индонезийский завтрак сервируют в номере.
The La Strea is 5 minutes' walk from Porto Cesareo’s centre.	Полуостров Ла-Стреа находится в 5 минутах ходьбы от центра Порто-Чезарео.
Set in a residential area, next to the bus stop with links to Pisa centre, Gino's House offers classically furnished rooms. Guests can make use of free bikes and free WiFi.	В комплексе Gino's House, расположенном в жилом районе, рядом с остановкой автобуса, следующего до центра Пизы, к услугам гостей номера в классическом стиле, бесплатный прокат велосипедов и бесплатный WiFi.
Free on-site parking is offered.	Гостям предоставляется бесплатная парковка на территории комплекса.
