Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
There is a flat-screen TV with Freeview and DVD player, hairdryer and tea and coffee facilities in all rooms.	Каждый из них снабжен телевизором с плоским экраном и бесплатными каналами, DVD-плеером, феном и принадлежностями для чая/кофе.
Augusto Cesar Sandino International Airport is 82 km away.	Международный аэропорт имени Аугусто Сесара Сандино находится в 82 км.
Hotel Oceano also boasts its own restaurant, specializing in seafood and international cuisine.	В ресторане отеля Oceano подают блюда из морепродуктов и блюда интернациональной кухни.
Guests can enjoy yoga class or traditional Thai massage, or book boat trips to nearby islands with the resort’s tour desk.	Гости могут посетить занятия йогой, заказать традиционный тайский массаж или организовать лодочную экскурсию на близлежащие острова в туристическом бюро отеля.
Apartment at the Tyrol Landhaus have a south-east facing balcony with mountain views, a kitchenette, seating area, satellite TV and a bathroom with a shower and toilet.	Апартаменты гостевого дома Tyrol Landhaus располагают балконом на юго-восточной стороне с видом на горы, мини-кухней, гостиным уголком, спутниковым телевидением и ванной комнатой с душем и туалетом.
Hotel Cicerone offers free parking, a restaurant and simply furnished rooms with TV and private bathroom.	К услугам гостей отеля Cicerone бесплатная парковка, ресторан и строго обставленные номера с телевизором и собственной ванной комнатой.
Atocha Train Station is 300 metres away, with a high-speed AVE service and links to Barajas Airport.	В 300 метрах от отеля находится железнодорожный вокзал Аточа, откуда отправляются скоростные поезда и поезда до аэропорта Барахас.
Offering free WiFi throughout, Palazzu is a self-catering apartment located in Patrimonio.	Апартаменты Palazzu с собственной кухней и бесплатным Wi-Fi находятся в поселке Патримонио.
The property offers free parking.	К услугам гостей бесплатная парковка.
The modern Apartament Lawendowy is located in the centre of Stronie Śląskie, 5 km from the Czarna Góra Ski Complex.	Современные апартаменты Lawendowy находятся в центре Строне-Сленске, в 5 км от горнолыжного комплекса Чарна-Гура.
Guests can enjoy sea and pool views.	Вы можете полюбоваться видом на море и бассейн.
This property offers free parking.	Кроме того, гостям предоставляется бесплатная парковка.
At The Ritz-Carlton Dubai, guests can experience varieties of themed restaurants ranging from flavors of Asia, Arabia and the Mediterranean including the new beach restaurant Palm Grill overlooking the Arabian Gulf.	В отеле The Ritz-Carlton Dubai работает несколько тематических ресторанов, в которых подаются блюда азиатской, арабской и средиземноморской кухни. Из нового пляжного ресторана Palm Grill открывается вид на Персидский залив.
Providing a living room with sofas and a fireplace, the accommodation also offers a terrace.	В шале имеется терраса и гостиная с диванами и камином.
Boat trips, island visits, snorkelling and diving can all be arranged locally.	На месте могут быть организованы морские прогулки, экскурсии на острова, подводное плавание и дайвинг.
It offers free Wi-Fi, a varied breakfast and rustic-style accommodation.	По утрам гостям подают разнообразный завтрак. Предоставляется бесплатный WiFi.
Laundry and fax/photocopy services are available at the front desk.	Услуги прачечной и факса/ксерокса предлагаются на стойке регистрации.
The bar serves drinks well into the evening.	В баре до позднего вечера предлагаются напитки.
The rooms here will provide you with a seating area.	Номера располагают гостиной зоной.
The Warth-Schröcken Ski Area, with a connection via a ski lift to Lech, is 25 km away.	Горнолыжный курорт Варт-Шрёккен с подъемником к Леху находится в 25 км от апартаментов.
Other facilities offered include a shared lounge with library.	Среди прочих удобств общий лаундж с библиотекой.
Located in Pantai Cenang, Chenang Purplish Guest Room d' Langkawi offers one-bedroom chalets with free WiFi and free private parking.	Комплекс Chenang Purplish Guest Room d'Langkawi расположен в курортном поселке Пантай-Сенанг. Гостям предоставляются шале с 1 спальней и бесплатным Wi-Fi, а также места на бесплатной частной парковке.
Dijon is a 45-minute drive away and Autun is a 35-minute drive from the hotel.	Поездка на машине до города Дижон займет 45 минут, а до города Отен — 35 минут.
The air-conditioned rooms of Sun Maritim feature carpeted floors and wooden furniture.	Гостям отеля Sun Maritim предлагаются номера с кондиционером, ковровым покрытием и деревянной мебелью.
A full kitchen and a private entrance are included.	Имеются плностью оборудованная кухня и отдельный вход.
A range of drinks is provided at the bar.	В баре представлен широкий ассортимент напитков.
The en suite bathroom comes with a shower and hairdryer.	В ванной комнате с душем предоставляется фен.
The heated guest rooms are fitted with electric blankets, a fridge and ironing equipment. The en suite bathroom offers free toiletries and a hairdryer.	В номерах с отоплением имеется холодильник, гладильные принадлежности, электрические одеяла, а также ванная комната с бесплатными туалетно-косметическими принадлежностями и феном.
You can engage in various activities, such as snorkeling, diving and cycling.	Рядом с домом имеются условия для различных видов активного отдыха, таких как сноркелинг, дайвинг и велосипедные прогулки.
The private bathroom includes free toiletries and a hairdryer.	В собственной ванной комнате предоставляется фен и бесплатные туалетно-косметические принадлежности.
Private parking is free of charge on site.	На территории обустроена бесплатная частная парковка.
Rooms come with a private bathroom offering shower facility and free toiletries.	Собственная ванная комната с душем укомплектована бесплатными туалетно-косметическими принадлежностями.
Guests can visit the Unicus’s top-class restaurant, offering delicious dishes by an award-winning chef.	Гости могут посетить первоклассный ресторан отеля Unicus, где предлагаются вкусные блюда от шеф-повара, удостоенного различных наград.
It provides free Wi-Fi access and parking.	К услугам гостей бесплатный Wi-Fi и парковка.
Ironing facilities can be provided.	Гостям предоставляются гладильные принадлежности.
At Spinnaker House you will find a courtyard garden.	В апартаментах Spinnaker House имеется сад во внутреннем дворике.
It offers free Wi-Fi, a restaurant and a tour desk which organises excursions to local attractions.	К услугам гостей бесплатный Wi-Fi, ресторан и туристическое бюро, где организуются экскурсии к местным достопримечательностям.
All rooms are decorated in a classic style, and fitted with tiled floors and wooden furnishings.	Номера с выложенными плиткой полами оформлены в классическом стиле и обставлены деревянной мебелью.
Bolzano, the provincial capital, is 12 km from the hotel.	Расстояние до города Больцано, административного центра одноименной провинции, составляет 12 км.
At Summerfield Green Bungalow you will facilities like grocery deliveries, a shared lounge and an ironing service are offered.	При бунгало Summerfield Green работает ресторан. Предусмотрены услуги доставки продуктов и глажки; обустроен общий лаундж.
Guests can reach Palm Jumeirah with a 10 minutes' drive.	Поездка до острова Палм-Джумейра занимает 10 минут.
Featuring a terrace with panoramic views and a garden, Colonica Fontisterni is a house set in Donnini.	Дом для отпуска Colonica Fontisterni расположен в городке Доннини. В распоряжении гостей сад и терраса с панорамным видом.
Only 100 metres from San Cristobal Hill, Apart Hotel Visandell offers self-catering apartments with free Wi-Fi and private terraces in Providencia. It features a swimming pool, and free parking is provided.	Апарт-отель Visandell расположен всего в 100 метрах от горы Сан-Кристобаль в коммуне Провиденсия. К услугам гостей апартаменты с собственной кухней, бесплатным WiFi и частной террасой, а также бассейн и бесплатная парковка.
Set in an 18th-century wine-making château, this B&B is 2 km from the centre of Saint-Estèphe, in the wine region of Médoc.	Этот отель типа "постель и завтрак" располагается в винодельческой усадьбе XVIII века, в 2 км от центра Сент-Эстеф, в винодельческом регионе Медок.
You can visit some of Galicia’s charming fishing towns such as Sanxenxo, Combarro or Marín, which are less than 30 minutes’ drive away.	Вы можете посетить один из очаровательных рыбацких городов Галичины, таких как Санхенхо, Комбарро или Марин. До них можно доехать за полчаса.
Guincho beach is a 10-minute drive from the Sea at Your Fingertips apartment, and guests will find Quinta da Marinha Golf Club 3.7 km away.	До пляжа Гиншу можно доехать от апартаментов Sea at Your Fingertips за 10 минут, а расстояние до гольф-клуба Quinta da Marinha составляет 3,7 км.
Slots At Sudbury Downs is 26 km away.	Расстояние до ипподрома Садбери Даунс составляет 26 км.
There is a sandbox in the yard.	Во дворе разбита песочница.
WiFi, continental breakfast and on-site parking are also offered.	Также в распоряжении гостей Wi-Fi, континентальный завтрак и парковка на территории.
Valgrande Pajares Ski Resort is 30 km from Hostel Albergue de Columbiello.	Горнолыжный курорт Вальгранде-Пахарес находится в 30 км от хостела Albergue de Columbiello.
The Quinta da Foz includes a spacious common living room with sofas, TV and board games.	В фермерском доме Quinta da Foz обустроена просторная общая гостиная с диванами, телевизором и настольными играми.
Extras include a fan.	Также в числе удобств вентилятор.
Guests can sing karaoke at the Golden Emperor International Club.	Гости могут попеть в караоке в клубе Golden Emperor International.
Tbilisi International Airport is 15 km from Lions Hotel.	Расстояние от отеля Lions до международного аэропорта Тбилиси составляет 15 км.
Hepburn Regional Park is a 25-minute drive away.	Поездка до регионального парка Хепберна занимает 25 минут.
Balcony On Sixth Lodge is just a 3-minute walk from Murray Bridge Railway Station.	Прогулка от мотеля Balcony On Sixth Lodge до железнодорожного вокзала Марри-Бридж займет всего 3 минуты ходьбы.
Guests can enjoy the on-site restaurant. Free private parking is available on site.	К услугам гостей терраса для загара, ресторан и бесплатная частная парковка.
Sun Moon Lake Hotel has a business centre with meeting facilities.	В числе удобств отеля Sun Moon Lake — бизнес-центр с помещениями для совещаний.
Guests can walk around the garden or the farm, which includes a vegetable garden, fruit trees, and animals.	Гости могут прогуляться по саду или ферме с огородом, фруктовыми деревьями и животными.
The pools are surrounded by loungers and there are large sun terraces.	Вокруг бассейнов расставлены шезлонги. Гости могут отдыхать на больших террасах для загара.
Batumi International Airport is 6.6 km from the property.	В 6,6 км расположен международный аэропорт Батуми.
Charming Studio Apartment is a self-catering accommodation located in Rio de Janeiro. Free WiFi access is available.	Апартаменты-студио Charming с собственной кухней и бесплатным Wi-Fi расположены в Рио-де-Жанейро.
A free shuttle service, a gift shop and safety deposit boxes are also available on site.	В числе удобств бесплатный трансфер, сувенирный магазин и сейф.
An iron, ironing board, coffee-tea-facilities and desk.	Также в распоряжении гостей утюг, гладильная доска, принадлежности для чая/кофе и письменный стол.
Known as the Golden Cape, the popular Zlatni Rat beach area is just 1.5 km from Bolbeach Guesthouse.	Расстояние от дома Bolbeach до популярной пляжной зоны «Золотой мыс» составляет 1,5 км.
Some come with a balcony and a mountain view.	В некоторых номерах есть балкон с видом на горы.
Free WiFi is available throughout the property.	На всей территории апартаментов предоставляется бесплатный Wi-Fi.
Akranes Rooms is located in Akranes, West Iceland, 42 km from Reykjavík.	Гостевой дом Akranes Rooms расположен в городе Акранес в Западной Исландии, в 42 км от Рейкьявика.
Within 400 m shops can be found.	Расстояние до магазинов составляет 400 м.
The property offers free parking and is approximately a 4-hour drive from Buenos Aires.	На территории обустроена бесплатная парковка. Поездка до Буэнос-Айреса занимает примерно 4 часа.
Staff at IH Hotels Firenze Business can provide tips on how to move in and around Florence.	Сотрудники отеля IH Firenze Business предоставят гостям информацию о том, как добраться до различных мест во Флоренции и ее окрестностях.
The guest house also offers bike hire and car hire.	Организуется прокат автомобилей и велосипедов.
Breakfast is served here in the summer months.	Кроме того, летом завтрак подаётся в саду.
Scenically located beside the Agger River in Lohmar, Aggerschlösschen offers a beer garden, beach bar, and free WiFi access.	Отель Aggerschlösschen расположен в живописном месте у реки Аггер в городе Ломар. К услугам гостей пивной сад и пляжный бар. На территории работает бесплатный Wi-Fi.
Airport shuttle can be arranged at a surcharge.	За дополнительную плату может быть организован трансфер от/до аэропорта.
Plečnik house museum is 300 meters away.	До дома-музея Плечника — 300 м.
Chenonceau Chateau is 22 minutes by car and Tours is a 31-minute drive.	До замка Шенонсо можно доехать на машине за 22 минуты, а до Тура — за 31 минуту.
It offers comfortable accommodation with free Wi-Fi and a private balcony.	Гостям предлагаются комфортабельные номера с бесплатным Wi-Fi и балконом.
There are 4 restaurants with special menus for children.	Работают 4 ресторана со специальными меню для детей.
Ramajal Rural is in the countryside in the Las Hurdes region of Extremadura.	Комплекс апартаментов Ramajal Rural находится в загородной местности района Лас-Урдес автономии Эстремадура.
The Lincolnshire Oak is surrounded by nearly 1.5 acres of grounds and gardens and offers traditional quality, comfort and value.	Отель Lincolnshire Oak окружен собственной территорией и садами площадью 0,6 га. Гостей отеля ожидает традиционное качество, комфорт и выгодные цены.
It is a 5-minute walk from Monte-Carlo’s Casino and a 10-minute walk from the beach.	Апарт-отель расположен в 5 минутах ходьбы от казино Монте-Карло и в 10 минутах ходьбы от пляжа.
Uzhgorod Castle is 1.2 km from the hotel, and Uzhgorod Drama Theater is a 15-minute walk away.	Ужгородский замок находится в 1,2 км, а прогулка до драматического театра Ужгорода займет 15 минут.
You will find a 24-hour front desk with luggage storage and currency exchange services at the property.	В распоряжении гостей круглосуточная стойка регистрации, камера хранения багажа и пункт обмена валюты.
Spacious, elegant rooms with free Wi-Fi and city views are offered here.	Гостей ожидают просторные, элегантные номера с бесплатным Wi-Fi и видом на город.
Guests enjoy good transport links around town.	В этом районе налажено хорошее транспортное сообщение по городу.
Every room is equipped with a private bathroom. Extras include free toiletries and a hair dryer.	В числе удобств собственная ванная комната с феном и бесплатными туалетно-косметическими принадлежностями.
Astali Hotel is situated only 100 metres from Rethymno’s beach and 200 metres from the Old Town.	Отель Astali расположен всего в 100 метрах от пляжа Ретимно и в 200 метрах от Старого города.
Scenic views and international food can be enjoyed at the hotel’s roof-top restaurant.	В ресторане на крыше отеля, откуда открывается живописный вид, подают блюда интернациональной кухни.
A variety of taverns and bars lies within walking distance.	Прогулка до разнообразных таверн и баров занимает лишь несколько минут.
Skiathos Airport is located 1.5 km from the property.	Расстояние до Национального аэропорта остров Скиатос составляет 1,5 км.
The Millstätter See Golf Course and the Goldeck Ski Area are both 7 km away.	Апартаменты находятся в 7 км от поля для гольфа Millstätter See и горнолыжного курорта Гольдек.
Transfers from and to the airports are available for an additional charge.	Трансфер от/до аэропортов предоставляется за дополнительную плату.
Hollywood Restaurant serves Chinese, Indian and Continental dishes.	В ресторане Hollywood подают блюда китайской, индийской и континентальной кухни.
The Marmara serves buffet breakfast in its main restaurant.	В главном ресторане этого курортного отеля подается завтрак «шведский стол».
Just 200 metres from the beach, Pensione Villa Elena is located in Forte dei Marmi.	Гостевой дом Villa Elena находится в небольшом городе Форте-дей-Марми, всего в 200 метрах от пляжа.
The India Gate is 16 km while Red Fort is 22 km.	В 16 км находятся Ворота Индии, а в 22 км — Красный форт.
Villa Julia features free WiFi .	Гостям виллы Julia предоставляется бесплатный Wi-Fi.
The nearest airport is Chania International Airport, 27 km from the property.	Расстояние до международного аэропорта Ханьи, ближайшего к комплексу, составляет 27 км.
Laleli Tram Stop is 150 metres from the hotel, and it is just 2 stops from Sultanahmet Tram Stop.	Трамвайная остановка Laleli находится в 150 метрах от отеля. Отсюда всего 2 остановки до трамвайной остановки Sultanahmet.
Located in Kota Kinabalu, Dorcas Service Apartment (Marina Court) offers an outdoor swimming pool and a fitness centre.	Апартаменты Dorcas Service Apartment (Marina Court) находятся в Кота-Кинабалу и располагают открытым бассейном и фитнес-центром.
Bremen Airport is 4 km away.	Расстояние до аэропорта Бремена составляет 4 км.
Set on the 1st floor of an Austro-Hungarian style villa in Opatija, Apartment Milani is bright and spacious and offers a terrace and free WiFi access.	Просторные и светлые апартаменты Milani с террасой и бесплатным WiFi расположены в городе Опатия, на 2 этаже здания виллы, выполненной в Австро-Венгерском стиле.
Free WiFi is available in the restaurant, where guests can enjoy the continental breakfast that is served.	В ресторане с бесплатным Wi-Fi подается континентальный завтрак.
Those wishing to explore the surrounding countryside will find the Mechta Nature Reserve is only 8 km away.	Гости, желающие осмотреть окрестности, могут посетить заповедник «Мечта», расположенный всего в 8 км.
Free WiFi is provided .	Работает бесплатный Wi-Fi.
Guests are welcome to take advantage of the large garden at the property with its furnished terrace, children’s playground and barbecue facilities.	Вокруг гостевого дома разбит большой сад с меблированной террасой, детской игровой площадкой и принадлежностями для приготовления барбекю.
The bright rooms at Saarland Hotel - Restaurant Milano come with a seating, a desk and a TV. A hairdryer is provided in the en suite bathroom.	В каждом из светлых номеров отеля Saarland обустроена собственная ванная комната с феном. В числе прочих удобств — мягкая мебель, рабочий стол и телевизор.
Hotel Continentale is 200 metres from Castro Pretorio Metro Station and 5 minutes’ walk from Termini Train Station.	Отель Continentale находится в 200 метрах от станции метро Castro Pretorio и в 5 минутах ходьбы от железнодорожного вокзала Термини.
Hairdryers are also available on request.	По запросу предоставляются фены.
The nearest airport is Miami International Airport, 14 km from Sunshine Apartments.	Расстояние до международного аэропорта Майами, ближайшего к комплексу апартаментов Sunshine, составляет 14 км.
Meribel, Courchevel and Les Menuires ski resort are all within a 40-minute drive.	В 40 минутах езды от отеля расположены лыжные курорты Мерибель, Куршевель и Ле Менуир.
Guests can take advantage of the free weekday newspapers and fax and copying services which are both located in the lobby.	В будние дни гостям предоставляются бесплатные газеты, при необходимости можно пользоваться услугами факса и ксерокса, которые расположены в лобби.
The Anne Frank House is a 5-minute walk.	Прогулка до дома Анны Франк займет 5 минут.
A flat-screen TV is provided in the living room.	В гостиной установлен телевизор с плоским экраном.
Each room comes with a dressing room and a private bathroom with a shower.	В каждом номере ботеля есть гардеробная и собственная ванная комната с душем.
The nearest airport is Rijeka Airport, 11 km from the property.	Расстояние до аэропорта Риеки составляет 11 км.
A range of extras can be arranged including massages and wine and candles on arrival.	Для желающих могут быть организованы различные дополнительные услуги, в том числе сеансы массажа. По прибытии гостям предлагается приветственный подарок: свечи и вино.
The Tazewell Motor Lodge is 10 minutes’ drive from Lincoln Memorial University.	Мотель Tazewell Motor Lodge с бесплатным WiFi находится в 10 минутах езды от Мемориального университета Линкольна.
Ticketing and sightseeing arrangement services are provided at the tour desk.	В туристическом бюро можно приобрести билеты и заказать экскурсии.
Located in Tukums in the Zemgale Region, 46 km from Jūrmala, Guest House Saulgrieži boasts a sauna and indoor pool.	Гостевой дом Saulgrieži находится в городе Тукумс, область Земгале, в 46 км от города Юрмалы. К услугам гостей сауна и крытый бассейн.
Albergo Il Cacciatore offers large rooms and a terrace overlooking the Umbrian valley.	В отеле Albergo Il Cacciatore к услугам гостей просторные номера с видом на долину Умбрии.
Armenian specialities are served in elegant Haykanoush restaurant, where the traditional carpets contrast with the modern furniture and chandeliers.	В элегантном ресторане "Айкануш", где традиционные ковры контрастируют с современной мебелью и люстрами, подают фирменные блюда армянской кухни.
The apartment features a patio with seats.	Апартаменты также располагают меблированным внутренним двориком.
Stolpnik Church is a 15-minute walk away.	Церковь Столпника находится в 15 минутах ходьбы.
Mountain biking and hiking trails are located a short distance from the hotel.	Недалеко от отеля пролегают туристические тропы и маршруты для катания на горном велосипеде.
This rustic guest house is set in Andorra La Vella’s Old Town.	Это загородный гостевой дом расположен в Старом городе Андорра-ла-Вельи.
All rooms are heated and soundproofed.	Все номера звукоизолированы и отапливаются.
At Taba Paradise Resort you can take a swim in the heated swimming pool or relax by the garden or terrace.	Гости курортного отеля Taba Paradise могут искупаться в бассейне с подогревом, а также расслабиться в саду или на террасе.
Car rentals and shuttle services are arranged upon request.	По запросу предоставляется услуга трансфера и прокат автомобилей.
The property is 900 metres from Pärnu City Center and 500 metres from Pärnu Golf Club.	Апартаменты находятся в 900 метрах от центра города Пярну и в 500 метрах от гольф-клуба Пярну.
Arzon’s marina is a lively area where you will find many bars, restaurants and shops.	Порт Арзона - это оживленный район с многочисленными барами, ресторанами и магазинами.
The B&B can help guests to organize their visit to the Capital of Europe.	В отеле типа "постель и завтрак" гостям помогут организовать их визит в столице Европы.
Several cafés and supermarkets are also located in the surroundings of the accommodation.	Несколько кафе и супермаркетов находится в непосредственной близости от апартаментов.
Rijeka Airport is 16 km away.	Расстояние до аэропорта Риеки составляет 16 км.
The 5 private bathrooms include a hairdryer and bathrobes.	Собственная ванная комната укомплектована феном и халатами.
Situated right on the beach of Skinos in Plakias Village, On the Rocks offers rooms that open to a furnished balcony, enjoying unobstructed Libyan Sea views.	Отель On the Rocks находится прямо на пляже Скинос в деревне Плакиас. Из номеров есть выход на меблированный балкон, с которого открывается панорамный вид на Ливийское море.
The two-bedroom apartments come with a fully equipped kitchen, a dining area, a seating area with a sofa, and a private bathroom with a bath or shower.	В апартаментах с 2 спальнями в вашем распоряжении полностью оборудованная кухня, кухня, обеденная зона, гостиный уголок с диваном и собственная ванная комната с ванной или душем.
An array of activities can be enjoyed on site or in the surroundings, including diving.	На территории виллы и в близлежащем районе можно заняться различными видами активного отдыха, в том числе дайвингом.
High-speed internet access is also offered here.	К услугам гостей высокоскоростной доступ в Интернет.
The B&B is located on the third floor of a block of apartments.	Этот отель типа «постель и завтрак» занимает 4 этаж многоквартирного дома.
Sennaya 5 Apartment is a self-catering accommodation located in Saint Petersburg, right in front of Sadovaya, Spasskaya and Sennaya Ploshchad Metro Stations.	Апартаменты «Сенная 5» с собственной кухней находятся в Санкт-Петербурге, рядом со станциями метро Садовая, Спасская и Сенная площадь.
Bed linen and towels are included.	Полотенца и постельное белье включены в стоимость проживания.
You can engage in various activities, such as cycling, fishing and hiking.	В окрестностях популярны рыбная ловля, а также пешие и велосипедные прогулки.
The property also offers grocery deliveries and laundry facilities.	Предоставляются услуги доставки продуктов и прачечной.
Enjoying a quiet location, Penzion u Konicka is set 300 metres from the Prostějov’s centre.	Отель Penzion u Konicka расположен в тихом месте, в 300 метрах от центра города Простеёв.
Offering a restaurant, Borg Al Eiwan Hotel Apartment offers self-catering accommodation. Free WiFi access is available in all areas.	К услугам гостей апарт-отеля Borg Al Eiwan апартаменты с собственной кухней, ресторан и бесплатный Wi-Fi на всей территории.
In the surrounding area it is also possible to find a variety of restaurants and cafés.	В окрестностях также можно найти множество ресторанов и кафе.
There is also a bar, shared lounge and a games room at the hotel.	В отеле также имеется бар, общий лаундж и игровая комната.
A convenience shop is on site.	На территории отеля работает магазин.
They also come with a radio and a telephone.	Также в номерах есть радио и телефон.
Penzion U Petry is 10 km from the Nové Hamry Ski Area, while Boží Dar Ski Area is 30 km away.	Пансион U Petry находится в 10 км от горнолыжного курорта Нове-Хамри, а горнолыжный курорт Божий Дар находится в 30 км.
Various restaurants can be found in the vicinity.	Неподалеку расположены разнообразные рестораны.
Set along one of the so-called Lorcan Routes, the property offers easy access to sights relevant to the life and works of the poet and playwright, Federico García Lorca.	Этот гостевой дом расположен у так называемого «Пути Лорки» — вы можете посетить места, где жил и творил великий поэт и драматург Федерико Гарсиа Лорка.
A shuttle to Faro Airport, just 30 minutes’ drive, is available on request.	По запросу организуется трансфер до аэропорта Фаро, находящийся в 30 минутах езды от виллы.
There is dry cleaning services at the property.	Гости могут воспользоваться услугами химчистки.
The Vlasska’s apartments are located in 4 buildings, sharing the garden and the courtyard.	Апартаменты Vlasska расположены в 4 зданиях с общим садом и внутренним двором.
Zeko Rozat Guesthouse is 8 km from Dubrovnik city centre and 10 km from Banje Beach. Arborteum Trsteno is 12 km away.	Центр Дубровника начинается в 8 км от гостевого дома Zeko Rozat, а в 10 км пролегает пляж Банье. В 12 км находится дендрарий Трстено.
A TV, fridge and work desk await guests in each of the air-conditioned, colourful rooms at the Galant Hotel. Many include a seating area and classical-style curtains.	Кондиционированные и красочные номера отеля "Галант" имеют телевизор, холодильник и письменный стол. Многие номера располагают гостиной и шторами в классическом стиле.
Casa di Nina is 2 km from Avignon and the Papal Palace, and 4 km from the train station.	Вилла Casa di Nina находится в 2 км от Авиньона и Папского дворца и в 4 км от железнодорожного вокзала.
Collaven Manor is in the North West of Dartmoor.	Отель Collaven Manor находится на северо-западе Дартмура.
The property is well placed for horse-riding, canoeing and archery, as well as scuba diving and golf at the nearby 18-hole Puntaldia golf club.	В отеле гости могут заняться верховой ездой, греблей на каноэ, стрельбой из лука, дайвингом и гольфом в близлежащем 18-луночном гольф-клубе Puntaldia.
You can enjoy a mountain view from the balcony with furniture.	С меблированного балкона открывается вид на горы.
Parking is free.	Гостям предоставляется бесплатная парковка.
Within a short walking distance, you will find several restaurants and cafeterias.	В нескольких минутах ходьбы работает несколько ресторанов и кафе.
Local tram and bus stops are just a few minutes’ walk away from Apartments Habicum, while the city centre is within 10 minutes' drive.	Остановки местных трамваев и автобусов находятся всего в нескольких минутах ходьбы от апартаментов Habicum, а до центра города можно доехать за 10 минут.
It has an outdoor swimming pool, gym and free Wi-Fi.	К услугам гостей открытый бассейн, тренажерный зал и бесплатный Wi-Fi.
Free WiFi access is available in this homestay.	К услугам гостей бесплатный WiFi.
The private bathroom includes a bathtub.	В собственной ванной комнате установлена ванна.
Some units are air conditioned and include a seating area with a flat-screen TV. Some units also have a kitchen, equipped with a dishwasher.	В некоторых апартаментах есть кондиционер, а в гостином уголке установлен телевизор с плоским экраном. Гости нескольких апартаментов пользуются собственной кухней с посудомоечной машиной.
At Setomaa Turismitalo you will find barbecue facilities.	На территории имеются принадлежности для барбекю.
Restaurants and bars are available within a 10-minute walk.	Прогулка до ресторанов и баров занимает 10 минут.
24-hour reception services are offered at Beloit Ike’s Motel.	Стойка регистрации мотеля Beloit Ike's работает круглосуточно.
Within 15 minutes on foot, the St. Nedelya Church and the TZUM Shopping Mall can both be reached.	До церкви Св. Недели и торгового центра ЦУМ можно дойти за 15 минут пешком.
Laundry facilities are provided on site and the hotel can arrange overnight camel trips across the sand dunes.	В отеле предоставляются услуги прачечной и организуются ночные поездки на верблюдах через песочные дюны.
It features an outdoor heated swimming pool surrounded with sun loungers.	На территории отеля гостей ждет открытый плавательный бассейн с подогревом, вокруг которого установлены шезлонги.
Set 700 metres from Dolphinarium in Batumi, this apartment features free WiFi.	Эти апартаменты с бесплатным Wi-Fi расположены в городе Батуми, в 700 метрах от дельфинария.
Located in Jutigny, Gite le Moulin du Gouaix offers a self-catering house with a private garden and BBQ facilities.	Коттедж Gite le Moulin du Gouaix с кухней, собственным садом и принадлежностями для барбекю расположен в городе Жютини.
Staff at the hotel’s 24-hour reception can provide information about what Lastres and the surrounding area have to offer.	Сотрудники круглосуточной стойки регистрации отеля порекомендуют интересные достопримечательности и подскажут варианты проведения досуга в Ластресе и его окрестностях.
The Ernest N Morial Convention Center and Louisiana Superdome are a 5-minute drive from this upscale Sheraton hotel.	Конгресс-центр им. Эрнеста Мориала и стадион Мерседес-Бенц Супердоум находятся в 5 минутах езды от этого высококлассного бутик-отеля сети Sheraton.
Served in the conservatory-style dining room with panoramic views, continental or cooked breakfasts are available each morning.	Обеденный зал с панорамным видом оформлен в стиле зимнего сада. Каждое утро для гостей сервируют континентальный или английский завтрак.
Plenty of free parking is available.	На территории комплекса предусмотрено много парковочных мест.
Breakfast is buffet style at Palazzo del Capitano Relais & Wellness.	По утрам в отеле Palazzo del Capitano Relais & Wellness для гостей сервируется завтрак «шведский стол».
